ID,FPS,LOOPTYPE,,
BossPattern4,20,0,,
,,,,
TEXTURE ID,LEFT,TOP,WIDTH,HEIGHT
graphics/BossPattern.png,51,283,209,185
graphics/BossPattern.png,375,283,193,187
graphics/BossPattern.png,671,279,235,191
graphics/BossPattern.png,687,953,219,181
graphics/BossPattern.png,1021,955,187,179
graphics/BossPattern.png,1343,957,179,177
graphics/BossPattern.png,1659,957,183,177
graphics/BossPattern.png,71,1183,179,179
graphics/BossPattern.png,387,1173,183,189
graphics/BossPattern.png,711,1157,171,203
graphics/BossPattern.png,53,1485,175,293
graphics/BossPattern.png,249,1493,171,285
graphics/BossPattern.png,441,1483,175,295
graphics/BossPattern.png,637,1483,171,293
graphics/BossPattern.png,53,1485,175,293
graphics/BossPattern.png,249,1493,171,285
graphics/BossPattern.png,441,1483,175,295
graphics/BossPattern.png,637,1483,171,293
graphics/BossPattern.png,53,1485,175,293
graphics/BossPattern.png,249,1493,171,285
graphics/BossPattern.png,441,1483,175,295
graphics/BossPattern.png,637,1483,171,293
graphics/BossPattern.png,53,1485,175,293
graphics/BossPattern.png,249,1493,171,285
graphics/BossPattern.png,441,1483,175,295
graphics/BossPattern.png,637,1483,171,293
graphics/BossPattern.png,53,1485,175,293
graphics/BossPattern.png,249,1493,171,285
graphics/BossPattern.png,441,1483,175,295
graphics/BossPattern.png,637,1483,171,293
graphics/BossPattern.png,53,1485,175,293
graphics/BossPattern.png,249,1493,171,285
graphics/BossPattern.png,441,1483,175,295
graphics/BossPattern.png,637,1483,171,293
graphics/BossPattern.png,53,1485,175,293
graphics/BossPattern.png,249,1493,171,285
graphics/BossPattern.png,441,1483,175,295
graphics/BossPattern.png,637,1483,171,293
graphics/BossPattern.png,53,1485,175,293
graphics/BossPattern.png,249,1493,171,285
graphics/BossPattern.png,441,1483,175,295
graphics/BossPattern.png,637,1483,171,293
graphics/BossPattern.png,53,1485,175,293
graphics/BossPattern.png,249,1493,171,285
graphics/BossPattern.png,441,1483,175,295
graphics/BossPattern.png,637,1483,171,293
graphics/BossPattern.png,53,1485,175,293
graphics/BossPattern.png,249,1493,171,285
graphics/BossPattern.png,441,1483,175,295
graphics/BossPattern.png,637,1483,171,293
graphics/BossPattern.png,11,1385,175,243
graphics/BossPattern.png,207,1383,171,245
graphics/BossPattern.png,399,1385,175,243
graphics/BossPattern.png,595,1385,171,241
graphics/BossPattern.png,711,1157,171,203
graphics/BossPattern.png,11,1385,175,243
graphics/BossPattern.png,207,1383,171,245
graphics/BossPattern.png,399,1385,175,243
graphics/BossPattern.png,595,1385,171,241
graphics/BossPattern.png,711,1157,171,203
graphics/BossPattern.png,387,1173,183,189
graphics/BossPattern.png,71,1183,179,179
