ID,FPS,LOOPTYPE,,
HammerAttackDown,10,1,,
,,,,
TEXTURE ID,LEFT,TOP,WIDTH,HEIGHT
graphics/Hammer.png,16,994,29,50
graphics/Hammer.png,67,994,30,50
graphics/Hammer.png,117,995,32,49
graphics/Hammer.png,169,996,34,48
graphics/Hammer.png,223,997,34,45
graphics/Hammer.png,277,995,33,46
graphics/Hammer.png,336,991,29,50
graphics/Hammer.png,398,993,23,48
graphics/Hammer.png,451,996,25,45
graphics/Hammer.png,504,998,29,43
graphics/Hammer.png,558,999,29,42
graphics/Hammer.png,615,998,26,43
graphics/Hammer.png,669,994,21,47
graphics/Hammer.png,718,991,26,52
graphics/Hammer.png,3,1322,29,53
graphics/Hammer.png,41,1336,33,39
graphics/Hammer.png,82,1335,35,40
graphics/Hammer.png,126,1332,29,43
graphics/Hammer.png,165,1330,28,44
graphics/Hammer.png,205,1329,28,43
graphics/Hammer.png,245,1326,28,47
graphics/Hammer.png,284,1324,29,49
graphics/Hammer.png,324,1324,29,49
graphics/Hammer.png,364,1325,28,48
