ID,FPS,LOOPTYPE,,
HammerAttackDownRight,10,1,,
,,,,
TEXTURE ID,LEFT,TOP,WIDTH,HEIGHT
graphics/Hammer.png,480,1269,26,50
graphics/Hammer.png,537,1268,27,49
graphics/Hammer.png,593,1269,26,47
graphics/Hammer.png,650,1270,26,46
graphics/Hammer.png,705,1269,28,47
graphics/Hammer.png,762,1268,29,48
graphics/Hammer.png,819,1266,28,50
graphics/Hammer.png,870,1265,33,49
graphics/Hammer.png,921,1267,41,47
graphics/Hammer.png,648,1098,41,47
graphics/Hammer.png,705,1098,40,47
graphics/Hammer.png,764,1098,40,47
graphics/Hammer.png,825,1099,38,46
graphics/Hammer.png,892,1096,32,52
graphics/Hammer.png,421,1344,37,53
graphics/Hammer.png,472,1361,43,36
graphics/Hammer.png,526,1356,36,41
graphics/Hammer.png,580,1353,30,44
graphics/Hammer.png,634,1352,27,45
graphics/Hammer.png,688,1351,25,48
graphics/Hammer.png,740,1350,25,49
graphics/Hammer.png,792,1349,25,50
graphics/Hammer.png,845,1349,25,50
graphics/Hammer.png,898,1349,26,50
