ID,FPS,LOOPTYPE,,
HammerIdle,10,1,,
,,,,
TEXTURE ID,LEFT,TOP,WIDTH,HEIGHT
graphics/Hammer.png,12,680,29,49
graphics/Hammer.png,54,680,29,49
graphics/Hammer.png,96,680,29,49
graphics/Hammer.png,138,680,29,49
graphics/Hammer.png,180,680,29,49
graphics/Hammer.png,222,680,29,49
graphics/Hammer.png,264,680,29,49
graphics/Hammer.png,306,680,29,49
graphics/Hammer.png,348,680,29,49
graphics/Hammer.png,390,680,29,49
graphics/Hammer.png,432,680,29,49
graphics/Hammer.png,474,680,29,49
graphics/Hammer.png,516,680,29,49
graphics/Hammer.png,599,681,28,48
graphics/Hammer.png,640,682,29,47
graphics/Hammer.png,682,683,29,46
graphics/Hammer.png,724,684,29,45
graphics/Hammer.png,766,683,29,46
graphics/Hammer.png,809,681,28,48
graphics/Hammer.png,852,680,29,49
graphics/Hammer.png,896,681,28,48
graphics/Hammer.png,939,682,27,47
graphics/Hammer.png,15,743,27,46
graphics/Hammer.png,57,744,27,45
graphics/Hammer.png,99,743,27,46
graphics/Hammer.png,140,741,27,48
graphics/Hammer.png,180,740,29,49
graphics/Hammer.png,221,741,28,48
graphics/Hammer.png,262,742,29,47
graphics/Hammer.png,304,743,29,46
graphics/Hammer.png,346,744,29,45
graphics/Hammer.png,388,743,29,46
graphics/Hammer.png,431,741,28,48
graphics/Hammer.png,474,740,29,49
graphics/Hammer.png,518,741,28,48
graphics/Hammer.png,561,742,27,47
graphics/Hammer.png,603,743,27,46
graphics/Hammer.png,645,744,27,45
graphics/Hammer.png,687,743,27,46
graphics/Hammer.png,728,741,27,45
graphics/Hammer.png,768,740,29,49
