ID,FPS,LOOPTYPE,,
IdleRight,10,1,,
,,,,
TEXTURE ID,LEFT,TOP,WIDTH,HEIGHT
graphics/mario.png,23,1397,20,48
graphics/mario.png,57,1397,20,48
graphics/mario.png,91,1397,20,48
graphics/mario.png,125,1397,20,48
graphics/mario.png,159,1397,20,48
graphics/mario.png,193,1396,20,49
graphics/mario.png,227,1396,20,49
graphics/mario.png,261,1397,20,48
graphics/mario.png,295,1398,20,47
graphics/mario.png,329,1398,20,47
graphics/mario.png,363,1397,20,48
graphics/mario.png,397,1397,20,48
graphics/mario.png,431,1397,20,48
graphics/mario.png,465,1397,20,48
graphics/mario.png,499,1397,20,48
graphics/mario.png,533,1397,20,48
graphics/mario.png,567,1397,20,48
graphics/mario.png,601,1397,20,48
graphics/mario.png,635,1397,20,48
graphics/mario.png,669,1396,20,49
graphics/mario.png,703,1396,20,49
graphics/mario.png,737,1397,20,48
graphics/mario.png,771,1398,20,47
graphics/mario.png,805,1398,20,47
graphics/mario.png,839,1397,20,48
