ID,FPS,LOOPTYPE,,
IdleUp,10,1,,
,,,,
TEXTURE ID,LEFT,TOP,WIDTH,HEIGHT
graphics/mario.png,21,1269,25,47
graphics/mario.png,55,1269,25,47
graphics/mario.png,89,1269,25,47
graphics/mario.png,123,1269,25,47
graphics/mario.png,157,1269,25,47
graphics/mario.png,191,1268,25,47
graphics/mario.png,224,1268,27,47
graphics/mario.png,257,1269,29,47
graphics/mario.png,291,1270,29,46
graphics/mario.png,326,1270,27,46
graphics/mario.png,361,1269,25,47
graphics/mario.png,395,1269,25,47
graphics/mario.png,429,1269,25,47
graphics/mario.png,463,1269,25,47
graphics/mario.png,497,1269,25,47
graphics/mario.png,531,1269,25,47
graphics/mario.png,565,1269,25,47
graphics/mario.png,599,1269,25,47
graphics/mario.png,633,1269,25,47
graphics/mario.png,667,1268,25,47
graphics/mario.png,700,1268,27,47
graphics/mario.png,733,1269,29,47
graphics/mario.png,767,1270,29,46
graphics/mario.png,802,1270,27,46
graphics/mario.png,837,1269,25,47
