ID,FPS,LOOPTYPE,,
Pattern4Bullet,10,1,,
,,,,
TEXTURE ID,LEFT,TOP,WIDTH,HEIGHT
graphics/BossBullet.png,127,536,50,45
graphics/BossBullet.png,127,536,50,45
graphics/BossBullet.png,127,536,50,45
graphics/BossBullet.png,127,536,50,45
graphics/BossBullet.png,127,536,50,45
graphics/BossBullet.png,127,536,50,45
graphics/BossBullet.png,127,536,50,45
graphics/BossBullet.png,127,536,50,45
graphics/BossBullet.png,127,536,50,45
graphics/BossBullet.png,127,536,50,45
graphics/BossBullet.png,127,536,50,45
graphics/BossBullet.png,127,536,50,45
graphics/BossBullet.png,127,536,50,45
graphics/BossBullet.png,127,536,50,45
graphics/BossBullet.png,127,536,50,45
